time,latitude,longitude,depth,mag,nst,gap,dmin,rms,updated,place,type,horizontalError,depthError,magError,magNst
2024-07-23T21:35:59.373Z,23.7735,122.0035,41.574,4.2,40,84,0.546,0.64,2024-10-08T21:49:10.005Z,"46 km ESE of Hualien City, Taiwan",earthquake,2.27,6.34,0.083,14
2024-07-17T08:53:38.302Z,24.2916,121.728,21.751,4.4,52,62,0.169,0.76,2024-09-28T22:42:09.040Z,"37 km NNE of Hualien City, Taiwan",earthquake,4.17,4.486,0.062,25
2024-07-12T18:51:13.352Z,23.9491,121.7636,23.581,3.9,63,81,0.272,0.59,2024-09-20T16:00:55.040Z,"16 km E of Hualien City, Taiwan",earthquake,2.34,3.528,0.059,28
2024-07-10T19:54:40.217Z,24.1654,121.7364,28.866,4.1,73,64,0.13,0.74,2024-09-20T16:00:53.040Z,"24 km NNE of Hualien City, Taiwan",earthquake,2.76,4.709,0.065,23
2024-07-08T21:50:37.975Z,22.021,121.3185,14.351,4.2,22,150,0.823,0.89,2024-09-20T16:00:52.040Z,"59 km E of Hengchun, Taiwan",earthquake,5.9,4.294,0.199,7
2024-06-28T08:42:35.326Z,23.3935,122.2366,10,4.8,33,104,0.863,1.11,2024-09-04T21:57:43.040Z,"91 km SE of Hualien City, Taiwan",earthquake,2.58,1.882,0.086,42
2024-06-24T00:40:43.643Z,24.0811,121.7349,5.181,4.1,19,123,0.158,0.56,2024-09-04T21:57:39.040Z,"17 km NE of Hualien City, Taiwan",earthquake,1.8,5.355,0.08,15
2024-06-23T14:27:09.391Z,23.7895,121.6388,24.293,5,81,56,0.385,0.91,2024-08-30T18:17:06.040Z,"21 km S of Hualien City, Taiwan",earthquake,4.14,4.018,0.078,16
2024-06-21T07:57:56.687Z,23.8777,121.6851,40.156,4.2,27,82,0.306,0.95,2024-08-30T18:17:07.040Z,"13 km SE of Hualien City, Taiwan",earthquake,2.76,5.162,0.159,11
2024-06-21T04:25:56.187Z,23.4848,121.5957,36.913,4,45,79,0.289,0.97,2024-08-30T18:17:07.040Z,"54 km S of Hualien City, Taiwan",earthquake,3.53,3.319,0.071,19
2024-06-18T03:46:57.198Z,24.1117,121.7618,18.145,4.4,63,66,0.165,0.51,2024-08-30T18:17:09.040Z,"21 km NE of Hualien City, Taiwan",earthquake,1.87,3.877,0.083,14
2024-06-12T23:37:51.778Z,23.9049,121.6929,39.912,3.8,19,109,0.282,0.54,2024-08-23T18:02:17.040Z,"12 km SE of Hualien City, Taiwan",earthquake,3.24,4.453,0.073,18
2024-06-11T21:51:32.947Z,23.7623,121.6245,31.257,4.4,77,73,0.411,0.7,2024-08-23T18:03:26.040Z,"23 km S of Hualien City, Taiwan",earthquake,3.1,4.77,0.069,20
2024-06-06T15:51:16.835Z,24.1593,121.7057,38.506,4.1,57,79,0.102,0.85,2024-08-16T21:59:25.040Z,"22 km NNE of Hualien City, Taiwan",earthquake,4.3,1.996,0.06,27
2024-06-05T06:46:06.680Z,23.5778,121.6448,19.933,3.9,32,91,0.369,0.49,2024-08-16T21:59:25.040Z,"44 km S of Hualien City, Taiwan",earthquake,2.41,4.927,0.083,14
2024-06-05T04:23:38.755Z,23.9827,122.3035,23.9,4.1,53,83,0.675,0.66,2024-08-16T21:59:25.040Z,"71 km E of Hualien City, Taiwan",earthquake,1.71,4.669,0.065,23
2024-06-02T01:28:36.309Z,23.7697,121.676,10,4.5,32,69,0.512,1.13,2024-08-06T20:32:53.040Z,"24 km SSE of Hualien City, Taiwan",earthquake,3.41,1.861,0.127,20
2024-06-02T01:27:23.706Z,23.7136,121.6602,10,5,64,83,0.462,0.73,2024-08-06T20:32:50.040Z,"29 km S of Hualien City, Taiwan",earthquake,3.36,1.878,0.053,115
2024-06-01T00:32:39.430Z,24.3927,122.0524,26.992,4.5,100,58,0.675,0.55,2024-08-06T20:32:49.040Z,"50 km SE of Yilan, Taiwan",earthquake,2.04,5.084,0.062,25
2024-05-31T17:10:59.107Z,24.0165,121.5423,25.304,5.2,169,28,0.585,0.63,2024-08-15T09:26:38.003Z,"7 km NW of Hualien City, Taiwan",earthquake,3.55,3.541,0.086,13
2024-05-30T15:52:17.056Z,23.9164,121.7088,39.396,4.3,60,70,0.644,0.94,2024-08-06T20:32:48.040Z,"12 km ESE of Hualien City, Taiwan",earthquake,3.3,6.482,0.066,22
